1.070631580257891406e-14	1.402406498330033696e-12	2.430218939723454935e-12	1.950958500286961416e-11	8.516409570539153307e-12	1.378785860832950013e-12	1.403786726997790870e-14
1.082314068248744968e-14	1.419268830157828566e-12	2.448237249328106093e-12	1.977272610162082494e-11	8.639626499904835063e-12	1.398467941956138099e-12	1.422228299870433135e-14
1.094250026267972083e-14	1.436511372303141485e-12	2.466564372542133829e-12	2.004195303323964137e-11	8.765823942522536630e-12	1.418624266844562103e-12	1.441098517687937786e-14
1.106447787483552395e-14	1.454146798273921841e-12	2.485209361382578457e-12	2.031746936745777798e-11	8.895104596328701995e-12	1.439271157367534787e-12	1.460411859998040687e-14
1.118916051547405617e-14	1.472188342173742178e-12	2.504181642656236078e-12	2.059948767368923314e-11	9.027575791829342341e-12	1.460425671398598992e-12	1.480183451880246983e-14
1.131663904814337661e-14	1.490649829720944337e-12	2.523491037901490747e-12	2.088823001850532373e-11	9.163349751774876335e-12	1.482105644068727818e-12	1.500429099855069184e-14
1.144700841905875808e-14	1.509545711334600981e-12	2.543147784625608015e-12	2.118392849622839985e-11	9.302543868294105215e-12	1.504329731793265164e-12	1.521165330195009687e-14
1.158036788723952607e-14	1.528891097448754251e-12	2.563162558936921956e-12	2.148682579522916275e-11	9.445280998859841476e-12	1.527117459290672518e-12	1.542409429825395120e-14
1.171682127028766988e-14	1.548701796230838936e-12	2.583546499680183856e-12	2.179717580274520225e-11	9.591689782582790291e-12	1.550489269830847555e-12	1.564179490020112680e-14
1.185647720705561556e-14	1.568994353896216221e-12	2.604311234193068574e-12	2.211524425129309314e-11	9.741904978466439665e-12	1.574466578972457441e-12	1.586494453115935985e-14
1.199944943856464615e-14	1.589786097828306777e-12	2.625468905812481732e-12	2.244130941002862009e-11	9.896067827406367170e-12	1.599071832072609327e-12	1.609374162489706784e-14
1.214585710866175135e-14	1.611095182733266222e-12	2.647032203271175739e-12	2.277566282472054616e-11	1.005432643988351972e-11	1.624328565878651508e-12	1.632839416065304460e-14
1.229582508604212328e-14	1.632940640079612694e-12	2.669014392138122725e-12	2.311861011034691050e-11	1.021683621148465372e-11	1.650261474541016664e-12	1.656912023642471483e-14
1.244948430941879067e-14	1.655342431096968641e-12	2.691429348470580612e-12	2.347047180070317954e-11	1.038376026858653502e-11	1.676896480418351927e-12	1.681614868367272532e-14
1.260697215779160937e-14	1.678321503634384951e-12	2.714291594861612452e-12	2.383158425983201916e-11	1.055526994676538462e-11	1.704260810081971653e-12	1.706971972694743811e-14
1.276843284795736318e-14	1.701899853207883522e-12	2.737616339084597050e-12	2.420230066055165438e-11	1.073154530474311983e-11	1.732383075966306993e-12	1.733008569228351796e-14
