2.469423151711348720e-14	2.547812463494828533e-14	3.517994593342375414e-14	3.486001515534792285e-14	2.010855376654630922e-14	2.436871606675103259e-14	5.349920941107368817e-15	1.947995490381903464e-14	1.629041855299924405e-14	2.268092420375701391e-17	1.296749658219378511e-15	5.982508634392013765e-16	1.055196485453865393e-14	2.575296290521544082e-15	4.141457005140593056e-16	2.183638994097555351e-13	4.248816011809322904e-15	4.656920592680196420e-14	3.535180755512747607e-14	1.968115003573403184e-14	6.259663111116679073e-17	2.298520137358450447e-14	4.132589505236160162e-15	4.553848156683074311e-14	3.123883791235547376e-15	1.523377461935732885e-13
2.558569304960409169e-14	2.639948390572575250e-14	3.645527305867690896e-14	3.612775743553111523e-14	2.084063983022709984e-14	2.525808252422995023e-14	5.545462786059836478e-15	2.019312334724190052e-14	1.688847789313661730e-14	2.351509365920353359e-17	1.344615807876832456e-15	6.203986806018468578e-16	1.094334107536673892e-14	2.671189794874169548e-15	4.296124476234638280e-16	2.266009794980967674e-13	4.409771286688964245e-15	4.834003823648653817e-14	3.669993474446984355e-14	2.043381053866997077e-14	6.499759825696880921e-17	2.386908698790636833e-14	4.291996769438832077e-15	4.729967964921656995e-14	3.245199802963927514e-15	1.582759461582522310e-13
2.650803085640486738e-14	2.735275375032974022e-14	3.777490249716320302e-14	3.743973897865060828e-14	2.159829103020703257e-14	2.617850445583902346e-14	5.747829287502530557e-15	2.093117414573739692e-14	1.750742058796737199e-14	2.437843432280189011e-17	1.394162060840711729e-15	6.433253526246117146e-16	1.134848736258344020e-14	2.770459471188667992e-15	4.456244843545484975e-16	2.351306483243960259e-13	4.576452969558259096e-15	5.017397637241869597e-14	3.809619236977662521e-14	2.121340167405602303e-14	6.748467532061359253e-17	2.478472936499868659e-14	4.457141197252542090e-15	4.912434334337547943e-14	3.370896475209026695e-15	1.644290782459719436e-13
2.746244475772111863e-14	2.833910628222091066e-14	3.914034696527645555e-14	3.879746699969980161e-14	2.238239601394393309e-14	2.713110815925586705e-14	5.957270647839250568e-15	2.169501611881774004e-14	1.814798576251241160e-14	2.527195537675251233e-17	1.445445860672173591e-15	6.670581599244255202e-16	1.176789381547948042e-14	2.873226157607079438e-15	4.622009741568029655e-16	2.439631688511608609e-13	4.749065026893241506e-15	5.207325136067873672e-14	3.954226095728629123e-14	2.202085557081593407e-14	7.006084438125253060e-17	2.573323676061423138e-14	4.628225360836692615e-15	5.101472796961239885e-14	3.501129189361966444e-15	1.708046907400031173e-13
2.845011875824509248e-14	2.935974217732378592e-14	4.055316428810242159e-14	4.020242142743132644e-14	2.319381743729875482e-14	2.811698984957140732e-14	6.174033994071404152e-15	2.248556447374669414e-14	1.881093560630593590e-14	2.619669989608335778e-17	1.498525280593047266e-15	6.916242713460394816e-16	1.220204928000310148e-14	2.979612946574998048e-15	4.793616975345857854e-16	2.531088807872258488e-13	4.927814609344373616e-15	5.404015939563424714e-14	4.103987774650314942e-14	2.285713286239565875e-14	7.272915411656154252e-17	2.671573528063031227e-14	4.805454739061270464e-15	5.297312976313621932e-14	3.636057707006073855e-15	1.774105854182568164e-13
2.947217520085431671e-14	3.041585958218644678e-14	4.201497408135029922e-14	4.165610650114162668e-14	2.403341682602288648e-14	2.913721959493386412e-14	6.398361148448988124e-15	2.330372645730650106e-14	1.949704813065628050e-14	2.715374671291536429e-17	1.553460115950871027e-15	7.170510835449749405e-16	1.265144281077599362e-14	3.089744026308217793e-15	4.971269457258687960e-16	2.625782791778694449e-13	5.112911205119256312e-15	5.607704876068902955e-14	4.259083556129266463e-14	2.372322831582425141e-14	7.549274920690233770e-17	2.773337850476873329e-14	4.989038392621210256e-15	5.500188222620553750e-14	3.775845454077227630e-15	1.842548100891719303e-13
3.052968286618492253e-14	3.150864543109636103e-14	4.352747276381424262e-14	4.316012400581374610e-14	2.490210013895194511e-14	3.019288255720564680e-14	6.630494139370190249e-15	2.415040840070306340e-14	2.020711553388642432e-14	2.814421323029550118e-17	1.610313286868025119e-15	7.433670136050015804e-16	1.311657498408061965e-14	3.203745244910091267e-15	5.155175101665022067e-16	2.723822205538342512e-13	5.304568520432923316e-15	5.818632171698777772e-14	4.419698479135821544e-14	2.462017693907359942e-14	7.835490950467111632e-17	2.878736510541483662e-14	5.179191789077831981e-15	5.710337682092782545e-14	3.920659838557463824e-15	1.913456665796024086e-13
3.162371898271062511e-14	3.263929647231039286e-14	4.509243956189307961e-14	4.471622960811364400e-14	2.580086049789473933e-14	3.128513772846880342e-14	6.870686068797047412e-15	2.502654234703361259e-14	2.094195005499183077e-14	2.916925846350921153e-17	1.669151828068658254e-15	7.706023510120331159e-16	1.359797374863554247e-14	3.321746291657062547e-15	5.345547951948928230e-16	2.825321573338435803e-13	5.503008375469187402e-15	6.037045306808287365e-14	4.586023888495820625e-14	2.554905787842156333e-14	8.131907988022018701e-17	2.987895594892318101e-14	5.376140493556822892e-15	5.928009980171596992e-14	4.070673615846915228e-15	1.986917365759881152e-13
3.275545479009280488e-14	3.380906110413188793e-14	4.671173078272629512e-14	4.632634068132161890e-14	2.673079455904984761e-14	3.241526317049149970e-14	7.119211777964387471e-15	2.593311931856113009e-14	2.170239512685220308e-14	3.023008543627549022e-17	1.730046926901071104e-15	7.987897149510468038e-16	1.409620658532557410e-14	3.443883474035774949e-15	5.542610144031489950e-16	2.930402784537263822e-13	5.708464721620366458e-15	6.263201787871538423e-14	4.758258184534203969e-14	2.651099449620656322e-14	8.438887561890345557e-17	3.100948187116539882e-14	5.580122863850882805e-15	6.153466733103657088e-14	4.226066729180955162e-15	2.063019180073899075e-13
3.392621901848115509e-14	3.501928083724441616e-14	4.838726609904417764e-14	4.799248921397810320e-14	2.769308226429355251e-14	3.358466227635654859e-14	7.376372492794519973e-15	2.687121167809310818e-14	2.248933652556545170e-14	3.132794239247869269e-17	1.793072971274373655e-15	8.279638545601777454e-16	1.461188226846587447e-14	3.570301665319724684e-15	5.746593816578779344e-16	3.039194787339702590e-13	5.921185688258381556e-15	6.497371518596192347e-14	4.936607503236823320e-14	2.750715108618201212e-14	8.756806103976246991e-17	3.218033797875330373e-14	5.791390321534046095e-15	6.386984075584284855e-14	4.387027746648205178e-15	2.141854583796085175e-13
